Projet;Durée;Outils;Objectif
Projet 1;au 8/10/2024 du 4/11/2024;SQL, Power BI, Python, Pandas;Créer un tableau de bord pour une société de jouets 
Projet 2;au 10/11/2024 du 8/1/2025;Python, Pandas, Streamlit, API,ML;Créer une système de recommandation de films pour un cinéma dans la Creuse 
